key,text
1,"Agora que expliquei o titulo, passo a escrever o livro."
2,"Antes disso, porém, digamos os motivos que me Vivo só, com um creado."
3,"Tenho chacarinha, flôres, legume, uma casuarina, um poço e lavadouro."
4,"Pois, senhor, não consegui recompor o que foi nem o que fui."
5,"Em tudo, se o rosto é egual, a physionomia é differente."
6,"Entretanto, vida differente não quer dizer vida peor; é outra cousa."
7,"Quiz variar, e lembrou-me escrever um livro."
8,"É mais que tempo, e já agora póde haver uma difficuldade."
9,Basta a edade; Bentinho mal tem quinze annos.
10,Capitú fez quatorze á semana passada; são dous creançolas.
11,Bentinho ha de satisfazer os desejos de sua mãe.
12,E depois a egreja brasileira tem altos destinos.
13,"atalhou tio Cosme, cedendo a antigos rancores politicos."
14,"—Perdão, doutor, não estou defendendo ninguem, estou citando."
15,"Mas, olhe cá, mana Gloria, ha mesmo —É promessa, ha de cumprir-se."
16,Pois isto é cousa Minha mãe assoou-se sem responder.
17,Prima Justina creio que se levantou e foi ter com ella.
18,Não pude ouvir as palavras que tio Cosme entrou a dizer.
19,"Levantou-se para ir buscar o gamão, que estava no interior da casa."
20,Trazia as calças curtas para que lhe ficassem bem esticadas.
21,Nem sempre ia naquelle passo vagaroso e rigido.
22,"Então meu pae propoz-lhe ficar alli vivendo, com pequeno ordenado."
23,"Vá aonde quizer, mas fique morando comnosco."
24,"«Esta é a melhor apolice», dizia elle muita vez."
25,"—Abaixo, repetiu José Dias cheio de veneração."
26,Minha mãe dava-lhe de quando em quando alguns cobres.
27,"Tio Cosme, que era advogado, confiava-lhe a copia de papeis de autos."
28,"Tio Cosme vivia com minha mãe, desde que ella enviuvou."
29,José Dias não perdia as defesas oraes de tio Cosme.
30,"Era quem lhe vestia e despia a toga, com muitos comprimentos no fim."
31,"Tio Cosme, por mais modesto que quizesse ser, sorria de persuasão."
32,"Era gordo e pesado, tinha a respiração curta e os olhos dorminhocos."
33,"Tio Cosme accommodava as carnes, e a besta partia a trote."
34,Tambem não me esqueceu o que elle me fez uma tarde.
35,Tio Cosme pegou em mim e escanchou-me em cima da besta.
36,Agora só cumpria as obrigações do officio e sem amor.
37,Nas horas de lazer vivia olhando ou jogava.
38,"A pintura escureceu muito, mas ainda dá ideia de ambos."
39,"Contava então vinte annos, e tinha uma flôr entre os dedos."
40,No painel parece offerecer a flòr ao marido.
41,Concluo que não se devem abolir as loterias.
42,Talvez valha a pena dal-a; é só um capitulo.
43,"Já não tinha voz, mas teimava em dizer que a tinha."
44,"«O desuso é que me faz mal», accrescentava."
45,Satanaz levou o manuscripto comsigo para o inferno.
46,"—Não, retorquiu o Senhor, não quero ouvir nada."
47,"Não é raro que os mesmos lances se reproduzam, sem razao sufficiente."
48,Certos motivos cançam á força de repetição.
49,As partes orchestraes são aliás tratadas com grande pericia.
50,"No principio era o dó, e o dó fez-se ré, etc."
51,Este calix (e enchia-o novamente) este calix é um breve estribilho.
52,"Cantei um duo ternissimo, depois um trio, depois um quatuor..."
53,Minha mãe esperou que os annos viessem vindo.
54,"Não me atrevia a descer á chacara, e passar ao quintal visinho."
55,"Com que então eu amava Capitú, e Capitú a mim?"
56,"Entretanto, a materia das nossas conversações era a de sempre."
57,Em todos esses sonhos andavamos unidinhos.
58,"Era costume dellas, ás tardes, e ás manhãs tambem."
59,"Quando as bonecas de Capitú adoeciam, o medico era eu."
60,"Afinal fiz um esforço, empurrei a porta, e entrei."
61,"Quiz insistir que nada, mas não achei lingua."
62,"Então quiz vel-os de perto, e dei um passo."
63,Foi o mesmo que accender em mim o desejo de ler o que era.
64,Tudo o que contei no fim do outro capitulo foi obra de um instante.
65,O que se lhe seguiu foi ainda mais rapido.
66,"Ergueu-os logo, devagar, e ficámos a olhar um para o outro..."
67,"Em verdade, não falámos nada; o muro falou por nós."
68,Não marquei a hora exacta daquelle gesto.
69,"A bocca podia ser o calix, os labios a patena."
70,"Soltámos as mãos depressa, e ficámos atrapalhados."
71,"Capitú riscava sobre o riscado, para apagar bem o escripto."
72,Ninguem lhe chamava assim lá —Vocês estavam jogando o siso?
